gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_2,DE.TMC.day5_3
ENSG00000116350,SRSF4,3.66944,3.72982,3.72904,3.74422,3.7998,3.751,3.81509,3.92071,3.69705,3.32996,3.67819
ENSG00000177189,RPS6KA3,3.38313,3.40945,3.3518,3.38315,3.45462,3.39873,3.20341,3.1092,3.15538,2.05255,3.05234
ENSG00000116752,BCAS2,3.1988,3.20384,3.27067,3.19178,3.29681,3.44558,3.3298,3.22106,3.43576,3.68022,3.48649
ENSG00000138777,PPA2,4.13992,4.18768,4.17247,4.1958,4.24551,4.19359,4.13008,4.11443,3.83148,4.295,3.90355
ENSG00000112343,TRIM38,1.90059,1.9673,1.94779,1.97901,1.90181,2.08703,1.96508,2.10332,2.10973,2.31748,2.03894
ENSG00000152464,RPP38,2.66331,2.59326,2.63456,2.59979,2.6319,2.60208,2.66599,2.70047,2.60055,2.91327,2.62669
ENSG00000141425,RPRD1A,2.78988,2.80659,2.74597,2.81488,2.76374,2.88496,2.88874,2.81853,3.15891,2.72246,3.08747
ENSG00000083312,TNPO1,3.61373,3.60875,3.5438,3.54689,3.54732,3.64302,3.68151,3.65838,3.29092,2.23352,3.23679
ENSG00000153310,FAM49B,3.8339,3.79284,3.7875,3.8453,3.78807,4.10288,3.98881,4.01268,3.77671,3.01552,3.74832
ENSG00000125450,NUP85,3.28108,3.32525,3.30712,3.34043,3.33161,3.39968,3.3066,3.3662,3.15408,3.07104,3.09964
ENSG00000198960,ARMCX6,3.75542,3.70369,3.74147,3.76706,3.73941,3.93038,3.82203,3.84934,3.87682,4.1254,3.87303
ENSG00000173542,MOB1B,1.85326,1.85715,1.86236,1.86636,1.84224,2.06179,1.93531,1.68461,1.50417,1.2232,1.33726
ENSG00000162302,RPS6KA4,3.36916,3.37447,3.3597,3.39186,3.29097,3.35129,3.3511,3.50222,2.50412,1.87118,2.64258
ENSG00000139990,DCAF5,3.51655,3.55914,3.58415,3.55809,3.5483,3.5588,3.61459,3.59171,3.28582,2.48842,3.2525
ENSG00000188938,FAM120AOS,3.33278,3.2665,3.26801,3.20967,3.28269,3.40075,3.41205,3.36289,3.62303,3.55717,3.53757
ENSG00000102893,PHKB,3.03065,3.04902,3.06663,2.99931,2.99971,3.00984,3.04247,3.03355,3.085,3.13362,2.99749
ENSG00000165283,STOML2,4.4937,4.41666,4.43154,4.38975,4.44563,4.56391,4.52499,4.37401,4.33075,4.9442,4.30725
ENSG00000173171,MTX1,3.57511,3.531,3.48544,3.55254,3.52945,3.69567,3.72505,3.84528,3.51105,3.98973,3.528
ENSG00000107581,EIF3A,4.22366,4.31057,4.28297,4.32134,4.26581,4.31127,4.32888,4.33823,4.34513,3.69425,4.21771
ENSG00000137168,PPIL1,2.53783,2.51984,2.59863,2.55302,2.573,2.75138,2.7282,2.76023,3.18204,3.48601,3.15111
ENSG00000077097,TOP2B,3.21327,3.19355,3.25847,3.22424,3.18463,3.26374,3.30566,3.21297,2.90885,3.15699,2.90516
ENSG00000101365,IDH3B,4.25125,4.22894,4.31632,4.21853,4.27439,4.3099,4.2887,4.31979,3.89517,4.38168,4.03979
ENSG00000151655,ITIH2,6.06555,5.99603,6.05079,6.07986,6.04572,5.32581,5.39557,5.16739,5.3843,4.90109,5.49726
ENSG00000163191,S100A11,6.54085,6.63162,6.62603,6.58095,6.61446,7.18959,7.07429,7.21138,6.53874,7.29806,6.70352
ENSG00000128284,APOL3,4.14805,4.22486,4.11617,4.18466,4.15773,4.1717,4.01066,3.83503,3.98219,4.22794,4.00841
ENSG00000108774,RAB5C,5.2108,5.18558,5.21388,5.25026,5.24052,5.37892,5.34137,5.37279,4.70963,5.0451,4.78103
ENSG00000118518,RNF146,3.37977,3.3664,3.39973,3.35259,3.44269,3.3551,3.40174,3.34204,3.30761,2.81575,3.07659
ENSG00000117505,DR1,3.24851,3.20423,3.20359,3.26339,3.22988,3.2958,3.38249,3.29505,3.59701,3.23198,3.56573
ENSG00000146701,MDH2,4.80546,4.82328,4.90991,4.82073,4.88165,4.81153,5.09217,4.84916,4.68497,4.70134,4.65523
