gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000126882,FAM78A,2.41954,2.35907,2.38282,2.56239,2.42929,2.74255,2.57786,2.82174,0.877141,0.849183
ENSG00000211450,C11orf31,5.10914,4.93065,4.94454,4.83484,4.81747,5.05739,4.9596800000000005,5.0549599999999995,4.62111,4.6384099999999995
ENSG00000204227,RING1,3.7514199999999995,3.7343599999999997,3.6935599999999997,3.6650400000000003,3.5232699999999997,3.8310400000000002,3.7928699999999997,3.78347,3.75215,3.66802
ENSG00000161920,MED11,3.23205,3.17293,3.27143,3.21351,3.42801,3.29534,3.3388400000000003,3.42156,3.10545,3.12832
ENSG00000117000,RLF,1.589,1.66393,1.5408899999999999,1.4076799999999998,1.51167,1.2688,1.43021,1.39876,1.30284,1.22403
ENSG00000134684,YARS,4.12255,4.1681099999999995,4.2977300000000005,4.1677,4.126469999999999,4.13812,4.22237,4.27493,4.95832,4.97541
ENSG00000123349,PFDN5,6.2723,6.14705,6.13976,5.9661,6.04461,6.33106,6.22684,6.23735,5.75782,5.78655
ENSG00000268895,A1BG-AS1,2.00002,1.8000599999999998,1.94472,1.73745,1.8447099999999998,1.96174,1.8825599999999998,2.15393,2.08192,2.08872
ENSG00000162437,RAVER2,0.49607414,0.49607414,0.49607414,0.049427,0.212466,0.38209699999999996,0.404009,0.146392,-0.504711,-0.29237399999999997
ENSG00000277150,F8A3,2.85475,2.73722,2.79825,2.83973,2.88347,2.85337,2.7138299999999997,2.9998299999999998,2.54367,2.9435700000000002
ENSG00000167967,E4F1,2.9133299999999998,2.8012099999999998,2.86315,2.72934,2.6375,2.7244,2.70784,2.80008,2.7783700000000002,2.61717
ENSG00000011258,MBTD1,1.47092,1.60659,1.58398,1.41067,1.72668,1.3421299999999998,1.43767,1.31682,1.61365,1.42514
ENSG00000119487,MAPKAP1,4.30989,4.20415,4.42234,4.40292,4.44431,4.60944,4.43162,4.55415,4.317880000000001,4.20723
ENSG00000111181,SLC6A12,2.77369,2.71597,2.8712,2.87692,2.96798,2.68816,2.9776,2.8314,2.50124,2.49258
ENSG00000136045,PWP1,3.36531,3.16719,3.3529699999999996,3.2854900000000002,3.26409,3.43574,3.4808199999999996,3.5761300000000005,3.34849,3.23445
ENSG00000030110,BAK1,3.22988,3.22412,3.18874,3.03575,3.08622,3.45965,3.25427,3.32609,3.0209799999999998,2.89483
ENSG00000117523,PRRC2C,3.37164,3.61456,3.53623,3.61182,3.55824,3.6022,3.5250199999999996,3.65499,3.0838200000000002,3.2675799999999997
ENSG00000112167,SAYSD1,2.3109,2.36452,2.311,2.48506,2.46342,2.44559,2.43942,2.37282,2.6395299999999997,2.6751
ENSG00000221955,SLC12A8,1.74597,1.92357,1.91525,2.00141,2.0653,2.0190799999999998,2.09375,1.9795099999999999,2.59815,2.47134
ENSG00000163684,RPP14,1.12915,1.24797,1.20042,1.14624,1.3007799999999998,1.74668,1.60723,1.64867,1.81065,1.05491
ENSG00000141580,WDR45B,3.9975400000000003,3.93508,3.9790900000000002,3.7852900000000003,3.80956,3.93497,3.9500599999999997,3.9999,4.0191300000000005,4.0721
ENSG00000125656,CLPP,3.7755099999999997,3.81311,3.68183,3.85629,3.92666,3.9707,3.8808,4.031569999999999,3.9077300000000004,4.0175
ENSG00000136238,RAC1,5.00863,5.15309,5.2161599999999995,5.23703,5.29015,5.3257699999999994,5.30575,5.279,5.02036,5.1944300000000005
ENSG00000108433,GOSR2,3.9996400000000003,3.76131,3.8496599999999996,3.71412,3.69739,3.6928300000000003,3.82756,3.6778199999999996,4.12845,4.1010800000000005
ENSG00000240771,ARHGEF25,2.3912,2.32254,2.3239099999999997,2.1863599999999996,2.11699,2.34211,2.40393,2.38338,1.19844,1.33489
ENSG00000178719,GRINA,5.62107,5.70026,5.7056,5.857,5.82891,5.91748,5.91791,6.003369999999999,5.72886,5.85895
ENSG00000111321,LTBR,4.945119999999999,4.92513,4.91824,5.07141,5.02688,4.99682,4.99708,5.04065,4.7903400000000005,4.8221099999999995
ENSG00000108468,CBX1,3.2616400000000003,3.27418,3.33765,3.10982,3.2885400000000002,3.35259,3.44951,3.3365400000000003,2.74435,2.78287
